rank,city,population
1,Москва,13274285
2,Санкт-Петербург,5652922
3,Новосибирск,1637266
4,Екатеринбург,1548187
5,Казань,1329825
6,Красноярск,1211756
7,Нижний Новгород,1198245
8,Челябинск,1176770
9,Уфа,1166098
10,Краснодар,1154885
11,Самара,1154223
12,Ростов-на-Дону,1143123
13,Омск,1101367
14,Пермь,1028128
15,Волгоград,1005584
16,Саратов,884967
17,Тюмень,883196
18,Тольятти,657452
19,Махачкала,628570
20,Хабаровск,615630
21,Ижевск,613828
22,Ульяновск,613350
23,Иркутск,605048
24,Владивосток,596785
25,Ставрополь,568715
26,Ярославль,560015
27,Балашиха,558664
28,Севастополь,555247
29,Набережные Челны,552086
30,Томск,543742
31,Кемерово,541261
32,Оренбург,536168
33,Новокузнецк,526319
34,Рязань,518124
35,Чебоксары,497773
36,Калининград,487798
37,Пенза,487657
38,Киров,476278
39,Астрахань,466456
40,Тула,451986
41,Сургут,445776
42,Сочи,445309
43,Улан-Удэ,434384
44,Курск,432723
45,Грозный,419758
46,Магнитогорск,408259
47,Якутск,378007
48,Брянск,370940
49,Иваново,355041
50,Чита,341013
