,Duration(ms)
0,87262
1,18507
2,15671
3,11570
4,47509
5,4969
6,9480
7,3715
8,7705
9,639
10,2626
11,22539
12,10205
13,15979
14,6956
15,15450
16,1876
17,24262
18,18156
19,7486
20,6202
21,13361
22,18812
23,19862
24,20186
25,7936
26,7213
27,18904
28,1168
29,3651
30,9060
31,5768
32,5476
33,2064
34,10295
35,5545
36,17830
37,6795
38,14857
39,20588
40,5963
41,10908
42,7759
43,9208
44,31650
45,17741
46,19561
47,8557
48,21313
49,2858
50,18091
51,21397
52,8211
53,14643
54,6690
55,5094
56,1178
57,7373
58,2045
59,8641
60,25766
61,5405
62,5612
63,5741
64,20302
65,16546
66,17947
67,5535
68,12864
69,28541
70,16688
71,6168
72,19690
73,10799
74,3879
75,18066
76,1082
77,1832
78,6475
79,82451
80,13548
81,16717
82,11770
83,18702
84,4614
85,9767
86,4464
87,7019
88,1340
89,2770
90,23633
91,9088
92,18468
93,8788
94,16364
95,2362
96,25486
97,16042
98,7732
99,6917
100,12190
101,14149
102,17460
103,16942
104,17859
105,6262
106,7189
107,20948
108,1840
109,4131
110,7512
111,6182
112,5045
113,3621
114,10718
115,6839
116,17698
117,7489
118,15738
119,23728
120,6032
121,9436
122,15344
123,11848
124,32589
125,18093
126,19745
127,7830
128,15588
129,2682
130,16743
131,20118
132,7184
133,12853
134,5368
135,5767
136,2801
137,6874
138,2172
139,6707
140,23662
141,5816
142,5917
143,5675
144,20499
145,17363
146,19474
147,5921
148,11561
149,37703
150,16266
151,6190
152,23355
153,10709
154,4065
155,19724
156,1450
157,1316
158,7010
159,120756
160,10891
161,5220
162,8185
163,43790
164,7695
165,26886
166,14855
167,3595
168,15577
169,5916
170,8001
171,3026
172,19756
173,7301
174,7411
175,76826
176,25555
177,90069
178,17068
179,8117
180,15900
181,6814
182,33534
183,6859
184,17275
185,32338
186,11800
187,3919
188,12619
189,6882
190,8290
191,3477
192,17601
193,6681
194,7362
195,71112
196,12920
197,5941
198,5718
199,9724
200,5757
201,6335
202,13716
203,8972
204,6180
205,5672
206,6851
207,6613
208,6101
209,7612
210,5313
211,6404
212,5749
213,17015
214,13792
215,22848
216,6624
217,15837
218,2149
219,1635
220,1775
221,1393
222,27066
223,6033
224,13643
225,22982
226,28939
227,5396
228,4292
229,6109
230,3394
231,9521
232,66893
233,14003
234,6644
235,6082
236,11044
237,7087
238,7420
239,25697
240,9788
241,6619
242,6178
243,7542
244,7497
245,6754
246,8844
247,5843
248,7120
249,6732
250,20157
251,14237
252,16054
253,8322
254,14912
255,2379
256,2038
257,1753
258,1968
259,24496
260,5464
261,17334
262,21128
263,28873
264,5894
265,3979
266,6413
267,4346
268,8874
269,46018
270,31483
271,87753
272,60192
273,33342
274,12578
275,13365
276,5642
277,5979
278,5396
279,23780
280,5978
281,14902
282,23272
283,26720
284,6276
285,18333
286,77783
287,32255
288,42216
289,15135
290,19262
291,8435
292,5976
293,5688
294,22204
295,4937
296,18150
297,20898
298,28774
299,7073
300,17992
301,70411
302,59888
